StudyHours,Attendance,PastScore,Internet,SleepHours,Passed
4,66,29,No,5,No
7,74,22,No,4,No
8,42,74,No,4,No
7,58,42,No,4,No
3,72,75,No,9,No
3,82,79,No,6,No
2,49,55,Yes,4,No
1,48,56,Yes,6,No
2,64,46,Yes,10,No
3,81,52,Yes,6,No
2,97,89,Yes,5,Yes
2,72,86,No,4,No
10,74,56,No,6,Yes
9,56,97,No,8,Yes
5,81,38,Yes,7,No
1,64,72,Yes,3,No
9,41,64,Yes,9,Yes
5,53,31,No,3,No
7,40,67,Yes,7,No
7,79,27,No,10,No
5,59,40,No,8,No
10,56,43,Yes,7,No
2,79,25,No,7,No
4,54,69,Yes,9,No
10,93,68,No,6,Yes
5,70,22,Yes,5,No
8,60,81,No,4,Yes
5,81,60,Yes,8,No
2,68,100,No,10,Yes
4,40,79,No,9,No
7,70,36,Yes,6,No
9,63,54,No,5,No
8,68,25,No,5,No
8,70,30,No,3,No
1,72,62,No,3,No
7,94,40,No,8,Yes
8,95,41,Yes,10,Yes
4,95,96,No,3,Yes
8,79,70,Yes,6,Yes
2,83,58,Yes,3,No
2,67,95,Yes,8,Yes
6,49,32,Yes,5,No
5,44,70,Yes,10,No
1,58,61,Yes,4,No
10,65,92,Yes,5,Yes
2,99,48,No,8,No
10,89,63,Yes,9,Yes
1,46,66,Yes,10,No
5,44,58,No,5,No
3,46,99,Yes,7,No
5,61,35,No,3,No
6,48,50,Yes,3,No
4,82,89,Yes,10,Yes
3,89,71,No,6,No
8,67,26,No,3,No
9,45,49,Yes,3,No
7,64,79,No,3,No
9,78,99,Yes,8,Yes
7,97,92,No,4,Yes
10,80,45,Yes,8,Yes
4,67,36,No,7,No
8,40,47,Yes,7,No
10,97,94,Yes,5,Yes
4,66,44,Yes,6,No
7,40,38,Yes,5,No
7,87,37,Yes,10,Yes
5,82,23,Yes,5,No
3,100,52,No,7,No
10,50,54,Yes,3,No
1,93,96,No,4,No
2,72,24,Yes,4,No
4,48,42,No,3,No
2,60,94,Yes,9,No
9,67,36,No,6,No
9,80,41,No,7,Yes
3,40,87,No,6,No
2,98,82,Yes,8,Yes
6,97,83,Yes,6,Yes
7,65,58,No,7,No
3,85,81,Yes,10,Yes
5,57,38,Yes,6,No
5,93,77,Yes,6,Yes
8,86,54,Yes,6,Yes
2,53,76,Yes,5,No
7,90,42,No,4,No
8,93,91,No,4,Yes
10,42,36,No,5,No
1,63,60,Yes,7,No
8,58,62,Yes,10,Yes
1,69,70,No,3,No
9,64,54,No,7,Yes
8,51,41,Yes,7,No
6,52,63,No,4,No
4,55,43,No,8,No
9,75,82,Yes,9,Yes
5,82,23,No,9,No
6,70,55,Yes,5,No
2,93,32,Yes,8,No
4,90,49,Yes,6,No
10,74,82,Yes,8,Yes
9,71,47,No,5,No
9,72,95,Yes,6,Yes
2,50,90,Yes,6,No
4,93,39,No,8,No
3,98,98,Yes,4,Yes
8,90,100,Yes,3,Yes
8,95,66,No,7,Yes
10,44,78,Yes,8,Yes
4,95,61,No,10,Yes
8,58,38,Yes,10,No
4,74,52,No,5,No
4,43,76,No,7,No
8,79,24,No,4,No
4,53,54,Yes,6,No
1,48,54,Yes,8,No
6,58,69,Yes,7,No
6,59,87,No,8,Yes
8,66,27,Yes,6,No
3,50,29,Yes,6,No
10,72,47,No,7,Yes
4,97,65,No,5,No
3,71,91,No,9,Yes
7,77,75,Yes,7,Yes
2,69,38,No,8,No
7,93,27,No,7,No
5,65,46,Yes,9,No
1,87,75,No,6,No
6,76,30,No,3,No
5,90,91,Yes,9,Yes
5,84,64,No,6,No
10,66,27,No,4,No
8,65,64,No,7,Yes
1,90,79,Yes,3,No
4,82,27,Yes,7,No
10,77,35,Yes,6,No
6,70,86,Yes,5,Yes
3,86,47,Yes,5,No
2,77,27,No,10,No
7,62,85,No,5,Yes
6,52,58,Yes,5,No
8,57,47,No,5,No
8,45,22,Yes,7,No
10,40,20,Yes,9,No
8,66,96,Yes,3,Yes
6,49,30,Yes,6,No
2,95,26,Yes,3,No
8,97,73,No,10,Yes
4,52,97,No,4,No
3,71,38,Yes,8,No
10,92,30,Yes,6,Yes
3,76,31,No,9,No
10,62,30,No,7,No
5,40,82,No,10,No
10,88,21,No,10,Yes
7,63,88,No,8,Yes
3,47,62,No,5,No
4,87,78,No,5,No
5,49,36,Yes,9,No
10,46,71,No,6,Yes
9,44,76,Yes,9,Yes
5,87,86,Yes,5,Yes
2,69,53,Yes,10,No
2,43,38,Yes,6,No
7,82,81,Yes,8,Yes
4,99,61,Yes,8,Yes
10,80,23,Yes,6,No
7,75,24,Yes,7,No
6,92,26,No,5,No
7,43,36,No,8,No
4,53,29,No,4,No
1,63,32,Yes,5,No
10,77,57,Yes,9,Yes
7,87,48,No,8,Yes
3,64,91,Yes,10,Yes
3,40,57,Yes,8,No
7,51,27,Yes,9,No
8,55,63,Yes,4,No
3,61,47,Yes,6,No
7,56,20,Yes,6,No
1,99,67,No,5,No
4,94,56,No,3,No
10,81,96,Yes,8,Yes
8,57,90,No,4,Yes
2,45,41,Yes,4,No
3,75,95,No,6,Yes
1,92,90,No,5,No
10,70,43,Yes,3,No
5,70,22,Yes,9,No
4,96,98,Yes,5,Yes
4,55,21,No,7,No
5,100,30,Yes,10,No
3,73,52,No,9,No
8,97,70,Yes,4,Yes
3,41,93,No,5,No
3,59,65,No,6,No
4,86,86,Yes,3,No
2,70,51,Yes,4,No
6,84,56,No,10,Yes
1,79,45,Yes,7,No
5,58,20,No,7,No
10,81,48,Yes,4,Yes
6,50,77,No,3,No
2,95,85,No,5,No
2,70,63,Yes,10,No
4,100,31,Yes,4,No
10,46,21,No,3,No
5,77,86,Yes,3,No
3,100,73,No,7,Yes
9,91,41,No,3,No
9,69,92,Yes,10,Yes
7,61,46,Yes,6,No
9,83,70,No,4,Yes
3,45,83,No,3,No
6,81,20,Yes,9,No
8,54,41,Yes,8,No
4,82,65,No,10,Yes
4,66,85,Yes,5,No
7,97,90,No,5,Yes
8,90,67,Yes,6,Yes
4,98,43,No,8,No
7,83,29,No,9,No
1,50,81,Yes,10,No
4,73,59,Yes,6,No
9,63,94,Yes,3,Yes
4,78,55,Yes,5,No
5,82,43,No,3,No
2,99,20,Yes,7,No
5,75,21,Yes,8,No
10,60,64,No,3,No
9,45,43,Yes,6,No
7,62,73,No,8,Yes
10,46,40,Yes,6,No
4,71,99,No,6,Yes
6,88,78,Yes,10,Yes
3,99,87,Yes,7,Yes
9,57,98,No,8,Yes
1,65,36,No,10,No
9,48,95,Yes,7,Yes
6,61,54,No,6,No
2,98,53,Yes,6,No
2,91,96,Yes,3,No
10,81,25,No,4,No
7,59,55,Yes,10,Yes
9,69,85,Yes,4,Yes
5,44,44,Yes,10,No
7,65,96,No,4,Yes
10,98,32,No,8,Yes
3,74,74,Yes,10,Yes
2,94,75,No,8,Yes
3,77,73,Yes,9,No
1,88,44,Yes,4,No
10,45,56,Yes,10,Yes
5,54,46,No,9,No
5,68,65,No,6,No
8,89,67,Yes,3,Yes
2,79,88,No,6,No
6,91,77,Yes,7,Yes
10,61,39,No,7,No
3,60,60,No,4,No
10,77,49,No,3,No
5,58,41,No,4,No
7,80,66,No,3,No
9,67,62,Yes,7,Yes
4,68,47,No,3,No
3,58,52,Yes,10,No
7,56,23,Yes,10,No
9,73,60,No,3,No
2,98,61,No,6,No
6,51,26,No,6,No
9,86,79,No,3,Yes
4,94,32,Yes,6,No
1,45,41,Yes,4,No
4,41,62,No,3,No
6,52,25,No,3,No
4,84,40,No,9,No
7,71,20,No,4,No
5,90,95,Yes,9,Yes
2,66,78,Yes,5,No
2,91,44,No,7,No
4,96,47,No,5,No
1,50,60,Yes,8,No
10,65,53,Yes,9,Yes
4,75,76,Yes,7,No
8,62,72,Yes,9,Yes
3,56,97,No,9,Yes
3,67,79,Yes,9,No
8,61,96,No,6,Yes
3,96,68,Yes,7,No
2,86,74,Yes,10,Yes
6,44,85,Yes,5,No
9,40,37,Yes,4,No
6,89,97,No,9,Yes
9,53,43,No,10,Yes
8,45,42,Yes,4,No
8,40,94,No,8,Yes
6,92,26,No,7,No
5,47,93,Yes,3,No
10,82,81,Yes,4,Yes
9,98,76,No,9,Yes
2,50,48,Yes,5,No
5,73,25,Yes,7,No
2,96,95,Yes,4,Yes
5,63,60,Yes,6,No
4,45,90,No,5,No
9,66,89,No,5,Yes
5,77,92,No,7,Yes
3,68,65,Yes,4,No
6,64,43,Yes,9,No
7,45,49,Yes,8,No
4,92,58,Yes,10,Yes
6,80,95,No,8,Yes
6,65,52,No,5,No
6,80,57,Yes,7,No
4,46,72,No,4,No
5,81,91,No,8,Yes
4,64,89,No,9,Yes
5,56,82,No,8,Yes
4,48,72,No,10,No
2,73,67,Yes,4,No
7,40,60,Yes,3,No
6,45,61,Yes,5,No
2,95,63,Yes,10,No
6,63,80,No,7,Yes
5,74,41,No,4,No
1,45,89,Yes,9,No
10,62,74,No,8,Yes
4,98,27,Yes,4,No
3,58,71,Yes,8,No
8,44,79,Yes,9,Yes
1,75,37,No,5,No
7,72,24,No,7,No
1,90,99,Yes,3,No
10,74,93,No,6,Yes
2,98,64,No,5,No
2,63,50,No,7,No
3,74,96,Yes,5,No
6,99,52,Yes,10,Yes
7,60,58,No,10,Yes
4,90,51,No,9,No
6,66,67,No,8,Yes
2,87,40,No,5,No
6,96,32,No,3,No
6,86,77,No,10,Yes
9,46,60,Yes,9,Yes
10,87,38,Yes,5,Yes
1,51,94,No,9,No
5,40,80,Yes,3,No
5,79,77,No,4,No
4,57,86,No,3,No
10,93,27,No,9,Yes
8,72,83,Yes,9,Yes
4,67,62,No,3,No
6,62,96,No,3,Yes
2,64,80,No,4,No
6,69,54,Yes,4,No
8,83,32,Yes,6,No
1,94,57,Yes,10,No
8,75,31,No,3,No
10,85,59,Yes,4,Yes
8,99,35,No,8,Yes
8,80,94,No,10,Yes
2,77,37,No,3,No
1,54,96,Yes,10,No
7,40,30,Yes,8,No
3,54,54,Yes,9,No
3,57,79,No,7,No
10,84,32,Yes,6,Yes
10,55,66,Yes,5,Yes
7,99,82,Yes,10,Yes
4,43,49,No,10,No
10,71,68,No,5,Yes
1,65,32,No,10,No
8,85,65,Yes,4,Yes
1,73,22,Yes,6,No
10,75,53,No,3,No
3,91,36,No,5,No
1,64,33,Yes,6,No
1,45,71,No,4,No
2,67,24,Yes,3,No
6,72,99,No,7,Yes
10,49,78,Yes,7,Yes
1,52,65,Yes,10,No
10,60,45,No,7,Yes
3,80,88,No,9,Yes
6,60,89,Yes,5,Yes
3,48,54,No,10,No
3,56,74,No,8,No
3,47,96,Yes,8,No
2,56,41,No,6,No
5,96,35,Yes,8,No
1,56,78,No,3,No
5,87,45,No,8,No
6,94,65,Yes,3,No
10,87,63,No,4,Yes
8,89,79,Yes,10,Yes
8,74,68,Yes,5,Yes
2,83,45,No,4,No
9,53,57,No,8,Yes
4,86,48,Yes,8,No
3,67,40,No,8,No
4,86,32,Yes,6,No
1,49,50,No,7,No
4,99,86,No,4,Yes
5,68,73,Yes,7,No
6,90,54,No,7,Yes
6,70,76,Yes,10,Yes
3,63,43,Yes,9,No
9,41,78,No,9,Yes
5,74,38,Yes,9,No
4,45,81,No,8,No
2,64,48,No,3,No
6,45,23,No,5,No
3,44,20,No,3,No
1,59,62,No,3,No
1,46,33,No,4,No
5,76,79,No,9,Yes
4,94,46,No,7,No
6,93,25,No,7,No
1,91,66,Yes,8,No
9,88,80,Yes,6,Yes
5,57,41,Yes,3,No
3,86,83,No,6,Yes
2,55,26,Yes,4,No
10,80,45,No,8,Yes
6,61,83,No,6,Yes
3,59,99,No,8,Yes
2,84,82,Yes,6,No
9,60,84,Yes,6,Yes
1,86,28,No,4,No
9,61,62,Yes,8,Yes
5,76,60,No,5,No
4,41,90,No,10,Yes
10,44,88,No,9,Yes
8,50,100,No,4,Yes
9,76,66,No,7,Yes
2,77,32,No,8,No
5,96,33,Yes,5,No
2,98,87,Yes,9,Yes
7,58,78,Yes,7,Yes
7,61,68,Yes,3,No
9,100,95,Yes,3,Yes
5,87,29,No,10,No
2,83,70,No,4,No
7,75,77,Yes,10,Yes
8,97,93,Yes,7,Yes
8,70,55,Yes,10,Yes
4,78,55,No,3,No
7,93,28,No,9,No
5,89,49,Yes,3,No
4,53,28,No,6,No
7,92,79,No,9,Yes
2,92,83,Yes,4,No
10,93,23,No,7,Yes
4,71,77,Yes,7,No
9,71,89,Yes,4,Yes
7,97,31,No,9,Yes
7,67,21,No,9,No
9,69,63,No,9,Yes
5,47,27,Yes,3,No
5,50,86,No,10,Yes
9,97,86,Yes,4,Yes
10,54,63,Yes,7,Yes
5,82,99,Yes,9,Yes
7,88,86,Yes,3,Yes
10,65,78,Yes,3,Yes
6,95,50,No,10,Yes
2,48,54,Yes,7,No
5,61,63,Yes,3,No
3,56,58,No,3,No
6,90,84,No,8,Yes
10,64,27,Yes,4,No
8,52,56,Yes,9,Yes
9,58,41,No,4,No
2,97,27,Yes,5,No
9,50,60,Yes,10,Yes
1,97,76,No,7,No
6,61,69,Yes,10,Yes
4,52,73,No,6,No
4,47,84,Yes,10,No
8,77,82,No,5,Yes
9,62,73,Yes,5,Yes
8,88,33,Yes,9,Yes
9,83,95,Yes,6,Yes
10,54,20,No,5,No
2,43,28,Yes,4,No
7,62,63,No,9,Yes
7,59,50,Yes,3,No
4,98,37,Yes,10,No
7,97,81,No,10,Yes
3,83,91,No,5,Yes
2,99,86,Yes,9,Yes
4,41,53,No,5,No
6,76,96,Yes,9,Yes
8,48,84,No,9,Yes
9,79,25,Yes,10,Yes
7,74,65,No,7,Yes
10,66,26,Yes,4,No
4,94,40,Yes,3,No
1,74,51,Yes,3,No
1,94,70,Yes,9,No
3,77,99,No,8,Yes
6,61,20,No,5,No
9,78,31,No,9,Yes
3,92,91,Yes,6,Yes
2,63,73,No,6,No
3,100,84,Yes,10,Yes
6,74,93,Yes,6,Yes
5,66,28,Yes,5,No
2,97,29,No,7,No
9,83,69,No,5,Yes
4,67,79,Yes,6,No
8,44,77,No,3,No
8,86,59,Yes,5,Yes
4,50,93,No,6,No
5,72,57,No,6,No
8,82,76,Yes,10,Yes
7,51,74,No,3,No
9,73,98,No,7,Yes
6,74,50,No,10,Yes
7,76,94,No,4,Yes
1,72,24,No,4,No
6,64,38,No,9,No
6,52,22,No,3,No
1,84,55,Yes,7,No
5,76,76,No,10,Yes
8,78,37,Yes,4,No
1,43,56,No,7,No
2,61,95,Yes,3,No
5,52,58,No,6,No
4,83,48,No,8,No
5,49,70,Yes,7,No
2,45,99,No,5,No
3,84,61,No,9,No
10,56,34,Yes,3,No
1,65,49,Yes,4,No
4,75,42,No,8,No
6,78,30,No,6,No
5,46,83,Yes,10,Yes
5,94,20,No,10,No
8,43,88,Yes,3,No
10,65,42,No,6,No
5,75,60,Yes,8,No
2,43,91,Yes,8,No
7,83,49,Yes,3,No
10,50,89,No,8,Yes
7,76,76,Yes,9,Yes
1,48,30,No,10,No
9,50,65,No,4,No
7,64,81,Yes,9,Yes
3,73,88,No,10,Yes
6,60,56,Yes,4,No
6,64,67,No,9,Yes
5,92,55,No,3,No
2,54,21,Yes,6,No
6,48,69,No,7,No
2,50,44,Yes,10,No
4,86,61,No,5,No
4,46,71,Yes,8,No
4,50,68,No,7,No
7,76,55,No,7,No
6,82,92,Yes,5,Yes
6,75,49,No,8,No
9,79,92,No,8,Yes
1,63,90,Yes,3,No
6,92,21,Yes,5,No
10,85,81,No,3,Yes
3,90,82,No,3,No
6,40,68,Yes,8,No
8,83,56,Yes,5,Yes
1,52,67,No,10,No
5,83,41,Yes,7,No
1,81,92,Yes,4,No
9,62,51,No,10,Yes
8,59,36,No,6,No
7,86,75,Yes,10,Yes
7,76,32,No,3,No
6,55,41,No,8,No
9,62,48,No,10,Yes
3,99,21,Yes,6,No
9,79,82,No,7,Yes
7,50,63,No,10,Yes
1,50,86,No,8,No
10,75,81,Yes,3,Yes
2,80,62,No,3,No
4,84,58,Yes,3,No
2,67,33,No,4,No
3,81,51,Yes,4,No
3,65,53,Yes,7,No
6,78,48,Yes,5,No
9,42,64,No,6,No
5,95,37,No,3,No
6,63,66,Yes,4,No
4,51,56,Yes,10,No
5,76,55,No,10,No
9,86,23,Yes,5,No
5,43,36,No,4,No
2,46,81,Yes,7,No
5,46,23,No,5,No
4,93,64,No,10,Yes
3,53,97,No,5,No
1,95,77,No,10,Yes
3,97,95,Yes,5,Yes
1,64,56,No,8,No
1,56,98,No,9,No
5,95,42,Yes,5,No
2,75,35,No,3,No
1,83,70,Yes,6,No
9,61,48,Yes,4,No
2,65,57,Yes,4,No
3,45,24,Yes,10,No
9,92,48,No,9,Yes
10,56,95,No,5,Yes
9,79,77,No,5,Yes
3,66,44,No,3,No
8,44,76,No,9,Yes
8,57,60,Yes,6,No
5,62,36,No,8,No
4,58,87,Yes,3,No
7,46,72,No,7,No
8,66,68,No,9,Yes
5,59,69,Yes,4,No
8,59,59,No,8,Yes
6,49,100,Yes,7,Yes
4,60,30,No,8,No
3,89,69,No,6,No
6,54,90,Yes,8,Yes
1,42,69,No,5,No
2,62,33,No,6,No
5,78,86,No,3,No
7,84,26,Yes,9,No
9,42,29,Yes,5,No
7,82,50,No,9,Yes
9,55,44,No,7,No
1,87,34,No,7,No
4,55,48,Yes,6,No
3,48,96,No,7,No
7,57,41,No,3,No
8,98,33,No,10,Yes
1,47,96,Yes,3,No
7,79,96,Yes,8,Yes
8,64,95,No,4,Yes
4,62,62,No,7,No
4,76,65,Yes,4,No
4,92,49,No,10,No
9,88,53,Yes,6,Yes
6,98,21,No,8,No
5,56,78,Yes,10,Yes
4,56,99,No,6,Yes
9,47,93,No,7,Yes
7,59,42,Yes,4,No
8,92,36,Yes,5,No
1,78,83,No,9,No
3,70,48,Yes,3,No
7,53,99,Yes,4,Yes
4,65,39,Yes,6,No
6,43,59,No,4,No
5,92,81,Yes,7,Yes
3,66,22,No,5,No
3,56,99,No,8,Yes
9,54,53,Yes,5,No
10,78,100,Yes,6,Yes
7,41,67,No,8,No
4,66,34,Yes,9,No
1,92,53,No,3,No
4,67,33,Yes,7,No
4,68,53,No,5,No
1,52,41,No,4,No
2,59,84,Yes,3,No
1,60,43,No,7,No
10,80,48,Yes,8,Yes
3,43,23,Yes,9,No
9,55,54,Yes,7,No
9,64,45,Yes,5,No
1,83,61,No,4,No
5,63,27,No,9,No
10,97,92,No,3,Yes
10,44,80,No,5,Yes
3,86,77,No,4,No
7,65,96,Yes,4,Yes
10,63,20,No,6,No
8,70,22,Yes,3,No
4,69,83,Yes,9,Yes
2,52,26,No,10,No
7,50,42,Yes,8,No
10,62,90,No,6,Yes
7,41,76,Yes,4,No
6,40,34,No,10,No
8,72,69,Yes,8,Yes
7,48,91,Yes,10,Yes
6,59,90,No,10,Yes
4,63,64,No,7,No
1,99,99,Yes,5,Yes
7,68,80,No,8,Yes
3,79,41,No,5,No
1,78,27,No,4,No
8,40,59,No,6,No
3,47,41,Yes,9,No
7,95,64,Yes,4,Yes
4,77,65,Yes,6,No
10,44,81,Yes,10,Yes
6,47,87,No,6,No
8,49,32,Yes,3,No
10,92,22,Yes,7,Yes
8,55,88,Yes,6,Yes
2,64,88,Yes,7,No
2,80,55,Yes,3,No
6,75,96,No,7,Yes
7,74,42,Yes,9,No
6,57,48,Yes,9,No
6,59,34,No,6,No
9,99,22,No,4,No
4,80,31,No,4,No
7,70,55,Yes,3,No
6,93,34,Yes,8,No
7,55,33,No,5,No
10,79,81,No,10,Yes
3,95,61,Yes,5,No
10,50,52,No,6,No
9,53,38,No,6,No
5,43,26,No,5,No
1,50,30,Yes,8,No
3,79,97,Yes,4,No
8,85,54,Yes,3,No
10,66,97,Yes,9,Yes
1,76,60,No,9,No
8,74,31,No,9,No
6,84,87,No,9,Yes
4,61,48,No,8,No
9,43,38,No,6,No
9,67,87,Yes,7,Yes
4,89,47,Yes,9,No
3,89,50,Yes,6,No
4,77,84,Yes,4,No
4,58,90,Yes,7,No
7,87,76,No,6,Yes
4,64,34,Yes,4,No
10,92,95,Yes,6,Yes
8,96,64,No,10,Yes
8,95,20,Yes,5,No
5,97,34,No,6,No
4,59,40,Yes,4,No
9,62,49,Yes,5,No
2,99,86,No,9,Yes
7,98,36,Yes,7,No
2,59,94,Yes,5,No
8,88,44,Yes,4,No
4,43,60,Yes,5,No
10,100,38,Yes,6,Yes
10,47,80,Yes,7,Yes
10,76,27,Yes,7,No
2,62,87,No,5,No
8,66,60,Yes,7,Yes
7,72,34,No,4,No
9,42,41,No,4,No
3,45,81,No,10,No
1,91,66,No,7,No
9,56,36,No,10,No
5,90,36,No,7,No
9,95,88,No,10,Yes
8,92,98,No,10,Yes
6,56,35,Yes,9,No
9,60,83,No,6,Yes
4,95,72,Yes,4,No
7,51,61,Yes,8,No
6,96,80,No,10,Yes
1,92,32,Yes,8,No
7,83,84,No,3,Yes
2,98,57,No,7,No
5,49,30,Yes,7,No
8,83,89,Yes,5,Yes
6,40,32,Yes,3,No
4,68,68,No,8,No
5,83,45,Yes,4,No
5,79,95,No,7,Yes
4,60,39,No,6,No
7,87,38,No,6,No
4,92,33,No,9,No
3,95,89,No,7,Yes
10,50,24,Yes,9,No
7,83,95,Yes,7,Yes
10,59,39,No,7,No
4,72,38,Yes,4,No
4,83,94,No,6,Yes
4,51,49,No,7,No
1,92,92,Yes,5,No
9,97,56,No,5,Yes
1,95,59,No,3,No
10,53,78,No,3,Yes
1,44,92,No,5,No
4,71,66,Yes,5,No
5,86,44,Yes,5,No
1,66,84,No,6,No
4,52,25,No,6,No
3,59,100,Yes,7,Yes
1,59,93,No,8,No
5,64,62,Yes,6,No
6,54,85,No,8,Yes
10,54,70,Yes,5,Yes
9,89,28,Yes,8,Yes
10,88,25,Yes,4,No
3,60,82,Yes,9,No
2,75,91,Yes,3,No
5,81,28,No,5,No
8,60,53,Yes,9,Yes
10,72,52,No,3,No
2,64,66,No,8,No
8,89,35,Yes,4,No
2,75,71,No,6,No
9,71,49,Yes,4,No
4,67,61,Yes,4,No
10,52,59,Yes,8,Yes
1,45,73,Yes,8,No
8,81,42,No,3,No
7,65,90,Yes,4,Yes
10,92,82,No,10,Yes
1,46,33,No,7,No
2,88,67,No,8,No
10,89,56,No,8,Yes
7,78,81,Yes,3,Yes
2,69,38,Yes,10,No
6,90,77,Yes,7,Yes
7,87,75,No,3,Yes
1,47,83,No,8,No
8,43,34,Yes,5,No
5,99,34,No,9,No
5,85,46,Yes,6,No
4,81,60,Yes,7,No
7,86,62,Yes,8,Yes
1,62,22,Yes,5,No
6,54,47,Yes,4,No
8,53,27,No,9,No
10,51,31,No,7,No
6,70,91,No,10,Yes
4,96,83,Yes,9,Yes
2,59,51,No,6,No
9,55,46,No,4,No
10,72,67,No,3,Yes
5,87,33,No,4,No
1,52,67,Yes,3,No
2,66,36,Yes,7,No
5,41,90,No,3,No
10,66,57,No,4,Yes
7,45,37,No,3,No
5,93,87,Yes,3,Yes
3,89,45,No,6,No
7,52,68,Yes,6,No
10,80,86,Yes,10,Yes
10,100,51,Yes,6,Yes
2,68,47,No,7,No
8,85,58,Yes,8,Yes
4,56,99,Yes,5,No
5,77,66,Yes,4,No
8,54,68,No,9,Yes
4,68,72,No,3,No
7,65,51,No,7,No
9,96,80,Yes,4,Yes
2,76,34,No,7,No
9,41,84,Yes,8,Yes
5,63,83,Yes,4,No
10,78,58,No,3,Yes
10,53,43,Yes,10,Yes
2,100,46,No,10,No
7,62,87,Yes,6,Yes
9,45,61,Yes,6,No
4,42,38,No,9,No
4,79,26,No,5,No
10,74,25,Yes,8,No
4,84,84,Yes,3,No
8,78,79,No,8,Yes
1,61,84,No,9,No
6,61,81,Yes,3,No
9,78,46,Yes,6,Yes
7,75,27,No,9,No
5,93,52,No,7,No
6,55,28,No,10,No
9,94,70,No,6,Yes
9,45,94,No,7,Yes
7,59,87,Yes,3,No
4,52,48,Yes,7,No
8,90,59,No,6,Yes
8,64,26,Yes,4,No
5,57,53,No,5,No
1,44,83,No,4,No
1,70,64,Yes,4,No
7,76,96,Yes,4,Yes
2,52,73,No,8,No
2,80,99,Yes,5,No
1,89,83,No,9,Yes
3,69,100,Yes,9,Yes
2,74,47,No,7,No
2,93,90,No,9,Yes
8,55,55,Yes,6,No
2,80,46,Yes,7,No
8,71,66,No,10,Yes
10,58,34,Yes,10,Yes
10,54,80,No,8,Yes
2,40,68,Yes,3,No
3,85,47,No,10,No
4,62,52,Yes,7,No
6,81,82,No,10,Yes
8,56,72,Yes,3,No
2,95,90,Yes,8,Yes
1,70,63,Yes,3,No
2,98,63,No,6,No
1,47,76,Yes,8,No
9,92,93,No,4,Yes
2,67,89,No,8,No
9,59,62,No,8,Yes
4,79,85,Yes,7,Yes
10,88,100,Yes,10,Yes
7,64,26,Yes,5,No
5,40,49,No,8,No
5,57,85,Yes,6,No
4,63,46,Yes,5,No
5,96,35,No,9,No
4,92,53,Yes,8,No
5,49,75,No,6,No
3,74,55,Yes,10,No
7,82,90,Yes,10,Yes
7,75,42,No,6,No
2,79,82,No,6,No
5,61,45,No,4,No
5,92,74,Yes,3,No
3,97,72,No,7,Yes
6,71,72,No,3,No
9,64,37,Yes,9,No
1,59,42,Yes,3,No
2,63,45,No,6,No
8,48,38,Yes,8,No
2,78,95,Yes,7,Yes
10,59,39,Yes,8,No
6,43,45,Yes,5,No
1,52,52,Yes,8,No
9,61,64,No,4,No
10,69,41,Yes,8,Yes
6,81,88,Yes,7,Yes
7,72,54,No,3,No
6,51,48,No,9,No
8,49,35,No,8,No
7,44,93,Yes,7,Yes
8,56,98,No,8,Yes
7,74,27,Yes,6,No
6,66,66,Yes,10,Yes
2,64,65,No,3,No
10,54,82,No,8,Yes
2,55,94,No,5,No
7,42,62,No,9,No
10,49,75,Yes,8,Yes
9,89,40,Yes,10,Yes
2,76,37,Yes,4,No
10,58,41,Yes,4,No
1,86,82,Yes,6,No
9,84,55,No,5,Yes
2,61,53,No,9,No
9,93,28,Yes,6,No
6,50,68,Yes,8,No
9,45,83,No,3,No
5,87,65,No,4,No
7,82,33,Yes,3,No
10,46,58,Yes,10,Yes
5,83,70,No,5,No
4,89,24,Yes,5,No
9,82,71,No,3,Yes
3,99,37,No,8,No
6,94,56,No,9,Yes
10,91,39,Yes,6,Yes
3,81,85,No,5,No
7,89,72,Yes,7,Yes
7,93,87,No,8,Yes
2,89,95,Yes,9,Yes
4,44,37,Yes,7,No
8,100,96,Yes,5,Yes
8,91,55,Yes,3,No
1,80,75,Yes,6,No
2,77,22,Yes,4,No
6,69,35,No,9,No
6,96,55,Yes,8,Yes
3,42,34,No,5,No
7,87,23,Yes,5,No
8,86,42,Yes,10,Yes
9,84,30,Yes,4,No
7,95,89,No,9,Yes
1,88,38,Yes,6,No
1,76,29,No,7,No
3,47,24,No,9,No
2,48,86,Yes,3,No
3,62,50,No,6,No
3,68,66,Yes,10,No
2,97,49,No,8,No
3,67,34,Yes,9,No
3,43,98,No,4,No
6,67,69,No,9,Yes
4,63,44,No,4,No
2,50,52,Yes,9,No
8,78,21,No,4,No
5,42,49,Yes,6,No
2,46,48,Yes,6,No
8,60,75,No,9,Yes
7,86,28,Yes,9,No
8,68,75,No,6,Yes
4,46,38,Yes,6,No
10,98,31,Yes,6,Yes
3,97,21,No,5,No
9,62,23,Yes,8,No
7,61,55,Yes,8,No
4,47,52,No,9,No
8,58,25,Yes,9,No
4,82,79,Yes,4,No
9,73,76,Yes,9,Yes
2,42,69,Yes,6,No
7,99,78,No,4,Yes
9,83,70,No,9,Yes
3,77,94,Yes,4,No
8,80,48,Yes,3,No
1,76,96,No,9,Yes
6,49,34,Yes,9,No
10,92,35,Yes,6,Yes
10,76,29,Yes,8,Yes
7,42,54,No,5,No
